,Population,Region ID,Region Name
0,1459,24210, Manningham
4,970,25710, Nillumbik
5,2467,25900, Port Phillip
6,852,26260, Southern Grampians
9,7,29399, Unincorporated Vic
10,0,29799, Migratory - Offshore - Shipping (Vic.)
16,233,21830, Corangamite
22,1261,23350, Indigo
23,661,24780, Mildura
28,117,26430, Strathbogie
29,288,26700, Wangaratta
30,2156,26730, Warrnambool
31,2986,27260, Wyndham
34,3827,20740, Bass Coast
36,1693,21110, Boroondara
37,35,21270, Buloke
39,212,21750, Colac Otway
41,195,22410, Glenelg
43,602,22830, Greater Shepparton
51,3306,24650, Melton
52,1394,24650, Melton
53,691,24850, Mitchell
55,2603,25250, Moreland
58,1835,26730, Warrnambool
61,636,27170, Wodonga
71,2016,22310, Glen Eira
72,167,22910, Hepburn
77,730,24130, Macedon Ranges
78,763,24250, Mansfield
81,1883,25340, Mornington Peninsula
84,98,25810, Northern Grampians
85,447,26170, South Gippsland
94,144,29499, No usual address (Vic.)
96,18,20260, Ararat
99,340,21750, Colac Otway
103,561,24780, Mildura
106,872,25060, Moonee Valley
107,2226,25250, Moreland
108,1143,25620, Murrindindi
109,1251,26350, Stonnington
116,3127,21180, Brimbank
117,1939,21370, Campaspe
124,167,22910, Hepburn
125,3844,23270, Hume
126,1882,23430, Kingston (Vic.)
134,549,27170, Wodonga
136,1465,20660, Banyule
137,734,20830, Baw Baw
139,1014,21180, Brimbank
144,2228,22310, Glen Eira
146,15470,22750, Greater Geelong
162,1842,20740, Bass Coast
165,169,22250, Gannawarra
166,859,22830, Greater Shepparton
168,1695,24210, Manningham
169,681,24780, Mildura
176,1230,26260, Southern Grampians
179,512,26810, Wellington
184,661,20830, Baw Baw
186,68,21270, Buloke
188,152,23190, Horsham
195,1090,25490, Moyne
197,746,25900, Port Phillip
199,1018,26260, Southern Grampians
205,8,29399, Unincorporated Vic
206,131,20110, Alpine
208,985,21890, Darebin
210,881,22310, Glen Eira
212,809,22670, Greater Dandenong
213,87,22980, Hindmarsh
215,1995,23670, Knox
220,613,24850, Mitchell
223,434,25150, Moorabool
227,243,25490, Moyne
228,104,26430, Strathbogie
229,355,26700, Wangaratta
230,2408,26980, Whitehorse
231,2813,27070, Whittlesea
234,2068,20740, Bass Coast
236,2092,21110, Boroondara
238,2613,22110, East Gippsland
239,2855,22170, Frankston
240,15088,22750, Greater Geelong
254,105,21270, Buloke
257,252,21830, Corangamite
258,865,22110, East Gippsland
259,207,22490, Golden Plains
263,2105,23670, Knox
268,1224,24330, Maribyrnong
269,1116,24600, Melbourne
270,1831,25060, Moonee Valley
276,4051,27260, Wyndham
280,0,29799, Migratory - Offshore - Shipping (Vic.)
286,1414,22620, Greater Bendigo
287,46,22980, Hindmarsh
289,612,24130, Macedon Ranges
292,974,25250, Moreland
295,783,25620, Murrindindi
296,69,25990, Pyrenees
298,38,26670, Towong
305,754,20830, Baw Baw
306,2434,21180, Brimbank
307,4023,21610, Casey
308,238,21750, Colac Otway
314,551,24250, Mansfield
318,86,25990, Pyrenees
321,4454,27350, Yarra
322,119,27630, Yarriambiack
323,98,29499, No usual address (Vic.)
325,1558,20660, Banyule
328,148570,21890, Darebin
330,1484,22310, Glen Eira
340,8471,24970, Monash
347,454,26490, Surf Coast
349,529,26810, Wellington
351,1350,20570, Ballarat
354,248,21670, Central Goldfields
356,1638,22620, Greater Bendigo
358,780,22830, Greater Shepparton
360,3267,23270, Hume
361,1684,24410, Maroondah
364,829,25710, Nillumbik
366,197,25810, Northern Grampians
371,39,26890, West Wimmera
379,2607,21370, Campaspe
384,687,23350, Indigo
385,2261,23430, Kingston (Vic.)
387,6090,24600, Melbourne
390,2331,25340, Mornington Peninsula
391,953,25490, Moyne
393,65,26080, Queenscliffe
395,71,26890, West Wimmera
396,2010,27450, Yarra Ranges
398,107,20260, Ararat
402,1750,21450, Cardinia
405,119,22250, Gannawarra
409,63,22980, Hindmarsh
413,118,23940, Loddon
419,14,26080, Queenscliffe
420,11,26080, Queenscliffe
421,91,26670, Towong
424,10823,27450, Yarra Ranges
426,178,20110, Alpine
429,1874,21370, Campaspe
430,7529,21450, Cardinia
431,4125,21450, Cardinia
432,438,22110, East Gippsland
439,1217,24330, Maribyrnong
443,263,25490, Moyne
445,165,25990, Pyrenees
451,155,20260, Ararat
458,1046,23810, Latrobe (Vic.)
459,1382,24410, Maroondah
460,2906,24650, Melton
462,462,24850, Mitchell
463,296,24900, Moira
467,1283,25900, Port Phillip
468,27,26080, Queenscliffe
470,247,26610, Swan Hill
474,109,20260, Ararat
483,2152,23670, Knox
484,61,23940, Loddon
489,207,25430, Mount Alexander
490,110,25990, Pyrenees
492,560,26810, Wellington
495,127,21010, Benalla
498,8813,22170, Frankston
501,3233,22750, Greater Geelong
502,826,23810, Latrobe (Vic.)
511,8789,27450, Yarra Ranges
512,64,27630, Yarriambiack
514,1263,20570, Ballarat
516,593,20830, Baw Baw
517,629,21370, Campaspe
518,6016,21610, Casey
519,4951,21610, Casey
520,4229,22110, East Gippsland
524,1395,23110, Hobsons Bay
527,7307,23430, Kingston (Vic.)
528,956,23810, Latrobe (Vic.)
530,1566,24410, Maroondah
533,67,25340, Mornington Peninsula
537,30577,26170, South Gippsland
541,62,26890, West Wimmera
542,53,27630, Yarriambiack
549,2150,21890, Darebin
550,1602,22170, Frankston
558,127,25430, Mount Alexander
559,275,25430, Mount Alexander
560,236,26170, South Gippsland
563,504,26490, Surf Coast
570,13046,27350, Yarra
571,1804,27450, Yarra Ranges
576,8736,22170, Frankston
581,288,24900, Moira
590,2893,27070, Whittlesea
593,0,29799, Migratory - Offshore - Shipping (Vic.)
595,1110,20910, Bayside (Vic.)
601,1649,24210, Manningham
602,124700,24210, Manningham
603,936,24330, Maribyrnong
605,1757,25060, Moonee Valley
607,466,26490, Surf Coast
608,1583,27070, Whittlesea
609,5,29399, Unincorporated Vic
611,0,29799, Migratory - Offshore - Shipping (Vic.)
612,101,21010, Benalla
617,377,22490, Golden Plains
622,251,23190, Horsham
631,159,26430, Strathbogie
632,82,26670, Towong
635,1464,26980, Whitehorse
636,1818,26980, Whitehorse
638,663,27260, Wyndham
639,74,29499, No usual address (Vic.)
640,159,20110, Alpine
641,2357,21110, Boroondara
642,1871,21110, Boroondara
649,773,23350, Indigo
650,629,24130, Macedon Ranges
651,1373,24210, Manningham
654,11078,24970, Monash
663,279,26610, Swan Hill
666,578,27170, Wodonga
672,1431,20910, Bayside (Vic.)
675,141,21670, Central Goldfields
676,1171,23110, Hobsons Bay
677,220,23190, Horsham
678,18924,23270, Hume
679,173,24250, Mansfield
692,182,21010, Benalla
696,267,21750, Colac Otway
697,2912,21890, Darebin
700,269,22490, Golden Plains
701,1562,22620, Greater Bendigo
704,2131,23270, Hume
710,138,26610, Swan Hill
712,5,27170, Wodonga
716,2658,21610, Casey
717,121,21670, Central Goldfields
722,224,22410, Glenelg
728,7356,24210, Manningham
732,1307,24900, Moira
734,541,25150, Moorabool
736,601,25620, Murrindindi
737,159,25620, Murrindindi
738,1612,25900, Port Phillip
740,1158,26350, Stonnington
745,3,29499, No usual address (Vic.)
746,3886,20830, Baw Baw
751,175,21830, Corangamite
754,1508,22620, Greater Bendigo
756,1667,22670, Greater Dandenong
760,4457,24330, Maribyrnong
763,2788,24970, Monash
764,1673,25060, Moonee Valley
769,695,25710, Nillumbik
770,118,25810, Northern Grampians
772,135,26430, Strathbogie
775,1207,26980, Whitehorse
782,849,23350, Indigo
784,412,25150, Moorabool
786,124,25810, Northern Grampians
789,434,26700, Wangaratta
790,388,26730, Warrnambool
791,2514,26810, Wellington
795,3838,20830, Baw Baw
798,176,21670, Central Goldfields
801,2066,22310, Glen Eira
804,818,22830, Greater Shepparton
805,105,22910, Hepburn
812,511,25710, Nillumbik
813,119,25810, Northern Grampians
815,1552,26170, South Gippsland
816,235,26260, Southern Grampians
819,33115,27260, Wyndham
820,542,27350, Yarra
821,148,29499, No usual address (Vic.)
822,247,21010, Benalla
826,612,22250, Gannawarra
830,228,23350, Indigo
832,1563,24210, Manningham
841,2266,21180, Brimbank
844,238,21750, Colac Otway
847,6259,22670, Greater Dandenong
848,833,22830, Greater Shepparton
849,15,23110, Hobsons Bay
850,433,24130, Macedon Ranges
851,697,24780, Mildura
866,2529,21110, Boroondara
867,74,21110, Boroondara
871,158,22410, Glenelg
873,1430,23270, Hume
875,8021,24210, Manningham
877,1013,24650, Melton
883,41,26080, Queenscliffe
885,5,26170, South Gippsland
886,216,26260, Southern Grampians
888,524,27170, Wodonga
889,4493,27260, Wyndham
895,37,21670, Central Goldfields
896,162,21830, Corangamite
897,88,22250, Gannawarra
898,397,22490, Golden Plains
902,572,24130, Macedon Ranges
911,2002,26700, Wangaratta
913,0,29799, Migratory - Offshore - Shipping (Vic.)
914,318,21750, Colac Otway
916,1477,21890, Darebin
920,59,22980, Hindmarsh
925,63,24250, Mansfield
931,2919,25710, Nillumbik
932,619,25900, Port Phillip
935,11172,26350, Stonnington
936,358,26730, Warrnambool
940,8,29399, Unincorporated Vic
942,367,20740, Bass Coast
950,4070,22750, Greater Geelong
952,284,23350, Indigo
953,1859,23430, Kingston (Vic.)
954,1896,23670, Knox
956,58,24210, Manningham
957,616,24850, Mitchell
958,402,25150, Moorabool
959,1917,25340, Mornington Peninsula
969,127,26430, Strathbogie
975,1509,26700, Wangaratta
976,505,26730, Warrnambool
977,874,27070, Whittlesea
985,4189,22830, Greater Shepparton
987,133,24250, Mansfield
990,6734,25060, Moonee Valley
1000,2491,26810, Wellington
1001,4052,27070, Whittlesea
1002,547,27170, Wodonga
1005,2137,21610, Casey
1014,222,26610, Swan Hill
1015,1529,27350, Yarra
1017,120,21670, Central Goldfields
1021,1262,22170, Frankston
1024,732,22250, Gannawarra
1027,878,23110, Hobsons Bay
1030,8339,23430, Kingston (Vic.)
1031,2381,23430, Kingston (Vic.)
1035,3722,24970, Monash
1041,74,26080, Queenscliffe
1042,1690,26170, South Gippsland
1044,313,26610, Swan Hill
1047,566,27170, Wodonga
1053,203,21670, Central Goldfields
1056,2941,22750, Greater Geelong
1060,828,23810, Latrobe (Vic.)
1062,367,25430, Mount Alexander
1064,404,25490, Moyne
1065,197,25620, Murrindindi
1070,295,26490, Surf Coast
1072,60,26670, Towong
1073,342,26700, Wangaratta
1074,253,26730, Warrnambool
1083,1692,22310, Glen Eira
1084,176,23350, Indigo
1088,220,25810, Northern Grampians
1089,24,26890, West Wimmera
1091,101,20110, Alpine
1100,1614,22310, Glen Eira
1101,215,22410, Glenelg
1102,1661,22670, Greater Dandenong
1103,4591,22830, Greater Shepparton
1110,2630,26350, Stonnington
1112,16,26670, Towong
1116,0,29799, Migratory - Offshore - Shipping (Vic.)
1123,1486,22170, Frankston
1124,103,22250, Gannawarra
1125,124,22250, Gannawarra
1130,125,22910, Hepburn
1131,44,22980, Hindmarsh
1132,21296,23270, Hume
1133,216,23350, Indigo
1142,487,26170, South Gippsland
1143,140,26260, Southern Grampians
1144,496,26810, Wellington
1147,10100,27260, Wyndham
1149,1152,21450, Cardinia
1150,26374,21610, Casey
1154,282,22410, Glenelg
1157,1999,23670, Knox
1158,9948,24330, Maribyrnong
1165,280,25620, Murrindindi
1166,127,25900, Port Phillip
1167,3859,26350, Stonnington
1168,1737,26350, Stonnington
1176,11392,22670, Greater Dandenong
1177,3798,22750, Greater Geelong
1179,293,22910, Hepburn
1180,69,22980, Hindmarsh
1183,326,24900, Moira
1186,278,26610, Swan Hill
1191,124,20260, Ararat
1193,1943,21110, Boroondara
1201,1382,22620, Greater Bendigo
1203,1312,23110, Hobsons Bay
1204,235,23190, Horsham
1208,1728,25430, Mount Alexander
1211,34,26890, West Wimmera
1215,250,20110, Alpine
1216,103,21010, Benalla
1219,185,21830, Corangamite
1225,233,22490, Golden Plains
1226,1464,22620, Greater Bendigo
1230,63,23940, Loddon
1235,173,25490, Moyne
1240,486,26490, Surf Coast
1241,3428,27070, Whittlesea
1243,1246,27350, Yarra
1246,636,20830, Baw Baw
1250,22,22490, Golden Plains
1252,262,23190, Horsham
1253,1056,23810, Latrobe (Vic.)
1255,7478,24410, Maroondah
1256,1285,25060, Moonee Valley
1265,22,26080, Queenscliffe
1269,504,26490, Surf Coast
1270,60,26670, Towong
1274,2324,26980, Whitehorse
1276,3526,27070, Whittlesea
1280,304,23190, Horsham
1283,511,24330, Maribyrnong
1284,2259,24900, Moira
1285,2599,24970, Monash
1288,1506,25900, Port Phillip
1292,146,26430, Strathbogie
1294,351,26890, West Wimmera
1301,1435,21450, Cardinia
1302,5613,21610, Casey
1305,1178,23110, Hobsons Bay
1311,116,26430, Strathbogie
1314,627,26810, Wellington
1315,2135,27450, Yarra Ranges
1316,8,29399, Unincorporated Vic
1319,1209,20910, Bayside (Vic.)
1320,1672,20910, Bayside (Vic.)
1321,134,21010, Benalla
1324,31,21890, Darebin
1325,2836,22670, Greater Dandenong
1330,941,24250, Mansfield
1331,461,24900, Moira
1332,12388,24970, Monash
1336,1377,20910, Bayside (Vic.)
1342,353,22490, Golden Plains
1343,7370,22620, Greater Bendigo
1346,69,22980, Hindmarsh
