PopulationID,Population,Region ID,Region Name
0,1459,24210, Manningham
4,970,25710, Nillumbik
5,2467,25900, Port Phillip
6,852,26260, Southern Grampians
9,7,29399, Unincorporated Vic
10,0,29799, Migratory - Offshore - Shipping (Vic.)
16,233,21830, Corangamite
22,1261,23350, Indigo
23,661,24780, Mildura
28,117,26430, Strathbogie
29,288,26700, Wangaratta
30,2156,26730, Warrnambool
31,2986,27260, Wyndham
34,3827,20740, Bass Coast
36,1693,21110, Boroondara
37,35,21270, Buloke
39,212,21750, Colac Otway
41,195,22410, Glenelg
43,602,22830, Greater Shepparton
51,3306,24650, Melton
53,691,24850, Mitchell
55,2603,25250, Moreland
61,636,27170, Wodonga
71,2016,22310, Glen Eira
72,167,22910, Hepburn
77,730,24130, Macedon Ranges
78,763,24250, Mansfield
81,1883,25340, Mornington Peninsula
84,98,25810, Northern Grampians
85,447,26170, South Gippsland
94,144,29499, No usual address (Vic.)
96,18,20260, Ararat
106,872,25060, Moonee Valley
108,1143,25620, Murrindindi
109,1251,26350, Stonnington
116,3127,21180, Brimbank
117,1939,21370, Campaspe
125,3844,23270, Hume
126,1882,23430, Kingston (Vic.)
136,1465,20660, Banyule
137,734,20830, Baw Baw
146,15470,22750, Greater Geelong
165,169,22250, Gannawarra
179,512,26810, Wellington
188,152,23190, Horsham
195,1090,25490, Moyne
206,131,20110, Alpine
208,985,21890, Darebin
212,809,22670, Greater Dandenong
213,87,22980, Hindmarsh
215,1995,23670, Knox
223,434,25150, Moorabool
230,2408,26980, Whitehorse
231,2813,27070, Whittlesea
238,2613,22110, East Gippsland
239,2855,22170, Frankston
259,207,22490, Golden Plains
268,1224,24330, Maribyrnong
269,1116,24600, Melbourne
286,1414,22620, Greater Bendigo
296,69,25990, Pyrenees
298,38,26670, Towong
307,4023,21610, Casey
321,4454,27350, Yarra
322,119,27630, Yarriambiack
340,8471,24970, Monash
347,454,26490, Surf Coast
351,1350,20570, Ballarat
354,248,21670, Central Goldfields
361,1684,24410, Maroondah
371,39,26890, West Wimmera
393,65,26080, Queenscliffe
396,2010,27450, Yarra Ranges
402,1750,21450, Cardinia
413,118,23940, Loddon
458,1046,23810, Latrobe (Vic.)
463,296,24900, Moira
470,247,26610, Swan Hill
489,207,25430, Mount Alexander
495,127,21010, Benalla
524,1395,23110, Hobsons Bay
595,1110,20910, Bayside (Vic.)
